"family","genus","species","lme","fao","level","FB_E_Code","source","type.length","taxo","b","a"
"Triglidae","Eutrigla","gurnardus",22,27,"species",139,"fb","TL","spe-LME",3.13966663678487,0.00543333341677984
"Callionymidae","Callionymus","lyra",22,27,"species",139,"fb","TL","spe-LME",2.67766666412354,0.0118000001336137
"Soleidae","Solea","solea",22,27,"species",139,"fb","TL","spe-LME",3.11674284934998,0.00645771429740957
"Gadidae","Gadus","morhua",22,27,"species",139,"fb","TL","spe-LME",3.08250002066294,0.00719499991585811
"Pleuronectidae","Hippoglossoides","platessoides",22,27,"species",139,"fb","TL","spe-LME",3.2039999961853,0.00439999997615814
"Pleuronectidae","Limanda","limanda",22,27,"species",139,"fb","TL","spe-LME",3.10099997520447,0.00776200005784631
"Gadidae","Merlangius","merlangus",22,27,"species",139,"fb","TL","spe-LME",3.18049991130829,0.00482499983627349
"Pleuronectidae","Pleuronectes","platessa",22,27,"species",139,"fb","TL","spe-LME",3.12099993228912,0.00778000010177493
"Scombridae","Scomber","scombrus",22,27,"species",139,"fb","TL","spe-LME",3.08400011062622,0.00533000007271767
"Gadidae","Trisopterus","minutus",22,27,"species",139,"fb","TL","spe-LME",3.02600002288818,0.00920000020414591
"Clupeidae","Clupea","harengus",22,27,"species",139,"fb","TL","spe-LME",3.07349534367406,0.00669309300868664
"Lotidae","Gaidropsarus","vulgaris",22,27,"species",139,"fb","TL","spe-LME",2.95900011062622,0.0108000002801418
"Pleuronectidae","Microstomus","kitt",22,27,"species",139,"fb","TL","spe-LME",3.04499995708466,0.0087500000372529
"Clupeidae","Sprattus","sprattus",22,27,"species",139,"fb","TL","spe-LME",3.22000002861023,0.00410000002011657
"Gadidae","Trisopterus","esmarkii",22,27,"species",139,"fb","TL","spe-LME",3,0.00670000002719462
"Gadidae","Melanogrammus","aeglefinus",22,27,"species",139,"fb","TL","spe-Ocean",3.11500000953674,0.00618000002577901
"Gadidae","Trisopterus","luscus",22,27,"species",139,"fb","TL","spe-LME",3.17949998378754,0.00732250011060387
"Cyclopteridae","Cyclopterus","lumpus",22,27,"species",139,"fb","TL","spe-LME",2.93899989128113,0.0586999990046024
"Rajidae","Amblyraja","radiata",22,27,"species",139,"fb","TL","spe-FAO",2.19000005722046,0.157000005245209
"Squalidae","Squalus","acanthias",22,27,"species",139,"fb","TL","spe-Ocean",3.03825001716614,0.00534400002215989
"Anarhichadidae","Anarhichas","lupus",22,27,"species",139,"fb","TL","spe-LME",3.15966669718424,0.00510000018402934
"Gadidae","Pollachius","virens",22,27,"species",139,"fb","TL","spe-Ocean",2.96300005912781,0.010329999960959
"Gadidae","Pollachius","pollachius",22,27,"species",139,"fb","TL","spe-LME",3.10833334922791,0.00595333334058523
"Sebastidae","Sebastes","",22,27,"genus",139,"fb","TL","gen-LME",3.13700008392334,0.0115000000223517
"Lotidae","Molva","molva",22,27,"species",139,"fb","TL","spe-LME",3.25499999523163,0.00243000005139038
"Agonidae","Agonus","cataphractus",22,27,"species",139,"fb","TL","spe-LME",2.61400008201599,0.0196000002324581
"Rajidae","Raja","clavata",22,27,"species",139,"fb","TL","spe-LME",3.19749999046326,0.0032150000333786
"Scophthalmidae","Scophthalmus","maximus",22,27,"species",139,"fb","TL","spe-LME",3.0541111363305,0.0157688889238569
"Lotidae","Enchelyopus","cimbrius",22,27,"species",139,"fb","TL","spe-LME",3.10599994659424,0.00350000010803342
"Pleuronectidae","Glyptocephalus","cynoglossus",22,27,"species",139,"fb","TL","spe-LME",3.28666671117147,0.00240000007518878
"Lophiidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.86999996503194,0.024700000261267
"Argentinidae","Argentina","",22,27,"genus",139,"fb","TL","gen-LME",3.05299997329712,0.00529999984428287
"Pleuronectidae","Platichthys","flesus",22,27,"species",139,"fb","TL","spe-LME",2.92062503099442,0.0155636250856332
"Rajidae","Dipturus","",22,27,"genus",139,"fb","TL","gen-FAO",3.53900003433228,0.00047999998787418
"Rajidae","Leucoraja","naevus",22,27,"species",139,"fb","TL","spe-FAO",3.31100002924601,0.00191666667039196
"Stichaeidae","Lumpenus","lampretaeformis",22,27,"species",139,"fb","TL","spe-Ocean",2.08999991416931,0.0164000000804663
"Merlucciidae","Merluccius","merluccius",22,27,"species",139,"fb","TL","spe-LME",3.09049999713898,0.00454799993894994
"Cottidae","Triglops","murrayi",22,27,"species",139,"fb","TL","spe-Ocean",3,0.00880332756787539
"Scyliorhinidae","Scyliorhinus","canicula",22,27,"species",139,"fb","TL","spe-LME",2.90400004386902,0.00335999997332692
"Gadidae","Micromesistius","poutassou",22,27,"species",139,"fb","TL","spe-LME",3.08200001716614,0.00374999991618097
"Rajidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.1966667175293,0.00338999996893108
"Carangidae","Trachurus","trachurus",22,27,"species",139,"fb","TL","spe-LME",3.20174998044968,0.0045474999351427
"Callionymidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.65275001525879,0.0129000002052635
"Lophiidae","Lophius","piscatorius",22,27,"species",139,"fb","TL","spe-LME",2.86999996503194,0.024700000261267
"Cottidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.12933333714803,0.0118999999637405
"Gobiidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3,0.0110999997705221
"Ammodytidae",NA,"",22,27,"family",139,"fb","TL","fam-FAO",2.55999994277954,0.00980000011622906
"Scophthalmidae","Lepidorhombus","whiffiagonis",22,27,"species",139,"fb","TL","spe-FAO",3.12202495336533,0.00476249994244426
"Scophthalmidae","Scophthalmus","rhombus",22,27,"species",139,"fb","TL","spe-LME",3.03377781973945,0.014931111337824
"Clupeidae","Alosa","",22,27,"genus",139,"fb","TL","gen-LME",3.05157142593747,0.00852047629831802
"Rajidae","Raja","brachyura",22,27,"species",139,"fb","TL","spe-LME",3.23300004005432,0.00280999997630715
"Soleidae","Buglossidium","luteum",22,27,"species",139,"fb","TL","spe-FAO",3.37000000476837,0.00498999992851168
"Rajidae","Raja","montagui",22,27,"species",139,"fb","TL","spe-LME",3.31100010871887,0.00200999993830919
"Scophthalmidae","Phrynorhombus","norvegicus",22,27,"species",139,"fb","TL","spe-LME",2.90499997138977,0.016100000590086
"Soleidae","Microchirus","variegatus",22,27,"species",139,"fb","TL","spe-LME",3.0789999961853,0.00889999978244305
"Callionymidae","Callionymus","",22,27,"genus",139,"fb","TL","gen-LME",2.65275001525879,0.0129000002052635
"Sparidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.10726001262665,0.0210950003005564
"Triglidae","Chelidonichthys","cuculus",22,27,"species",139,"fb","TL","spe-LME",3.27766664822896,0.00408333322654168
"Bothidae",NA,"",22,27,"family",139,"fb","TL","fam-FAO",3.14766667286555,0.00801749996996174
"Scophthalmidae","Zeugopterus","regius",22,27,"species",139,"fb","TL","gen-LME",3.14599990844727,0.0138999996706843
"Bothidae","Arnoglossus","laterna",22,27,"species",139,"fb","TL","spe-FAO",3.22574996948242,0.00526499998522922
"Engraulidae","Engraulis","encrasicolus",22,27,"species",139,"fb","TL","spe-LME",2.98099994659424,0.0065399999730289
"Sebastidae","Sebastes","viviparus",22,27,"species",139,"fb","TL","spe-LME",3.13700008392334,0.0115000000223517
"Ammodytidae","Ammodytes","",22,27,"genus",139,"fb","TL","gen-FAO",2.55999994277954,0.00980000011622906
"Pleuronectidae","Hippoglossus","hippoglossus",22,27,"species",139,"fb","TL","spe-LME",3.1010000705719,0.020299999974668
"Anarhichadidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.15966669718424,0.00510000018402934
"Lotidae","Gaidropsarus","",22,27,"genus",139,"fb","TL","gen-LME",2.95900011062622,0.0108000002801418
"Rajidae","Raja","",22,27,"genus",139,"fb","TL","gen-LME",3.1966667175293,0.00338999996893108
"Phycidae","Phycis","blennoides",22,27,"species",139,"fb","TL","spe-LME",3.38899993896484,0.00219999998807907
"Chimaeridae","Chimaera","monstrosa",22,27,"species",139,"fb","TL","spe-FAO",3.27049994468689,0.00387000006594462
"Gadidae","Gadiculus","argenteus",22,27,"species",139,"fb","TL","spe-FAO",3.32133332888285,0.00417666664967934
"Lotidae","Brosme","brosme",22,27,"species",139,"fb","TL","spe-Ocean",3.09449994564056,0.00919302273541689
"Gobiidae","Pomatoschistus","",22,27,"genus",139,"fb","TL","gen-FAO",3.15666675567627,0.00755333326136072
"Gobiidae","Aphia","minuta",22,27,"species",139,"fb","TL","spe-FAO",3.52666666110357,0.00122424997728861
"Trachinidae","Echiichthys","vipera",22,27,"species",139,"fb","TL","spe-FAO",3.04999995231628,0.010499999858439
"Liparidae","Liparis","",22,27,"genus",139,"fb","TL","gen-Ocean",3,0.0237037036567926
"Ammodytidae","Hyperoplus","lanceolatus",22,27,"species",139,"fb","TL","gen-Ocean",3,0.00235768174752593
"Sternoptychidae","Maurolicus","muelleri",22,27,"species",139,"fb","TL","spe-Ocean",3.96099996566772,0.00164000003132969
"Triakidae","Mustelus","",22,27,"genus",139,"fb","TL","gen-LME",3.1599999666214,0.00200000003678724
"Gasterosteidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.94099998474121,0.00836666665660838
"Zoarcidae","Lycodes","vahlii",22,27,"species",139,"fb","TL","gen-FAO",4.09569978713989,9.99999974737875e-05
"Cottidae","Myoxocephalus","scorpius",22,27,"species",139,"fb","TL","spe-LME",3.12400007247925,0.0126000000163913
"Trachinidae","Trachinus","draco",22,27,"species",139,"fb","TL","spe-LME",3.14200007915497,0.00553500012028962
"Anarhichadidae","Anarhichas","",22,27,"genus",139,"fb","TL","gen-LME",3.15966669718424,0.00510000018402934
"Ammodytidae","Ammodytes","tobianus",22,27,"species",139,"fb","TL","spe-FAO",2.55999994277954,0.00980000011622906
"Gasterosteidae","Gasterosteus","aculeatus aculeatus",22,27,"species",139,"fb","TL","gen-LME",3.04900002479553,0.010499999858439
"Zoarcidae","Lycodes","",22,27,"genus",139,"fb","TL","gen-FAO",4.09569978713989,9.99999974737875e-05
"Etmopteridae","Etmopterus","spinax",22,27,"species",139,"fb","TL","spe-FAO",3.13499999046326,0.00282333333355685
"Salmonidae","Salmo","trutta trutta",22,27,"species",139,"fb","TL","gen-LME",3.06599998474121,0.00829499983228743
"Syngnathidae","Syngnathus","",22,27,"genus",139,"fb","TL","gen-LME",3.23399996757507,0.000202300001546973
"Stichaeidae",NA,"",22,27,"family",139,"fb","TL","fam-Ocean",2.59604999423027,0.0634550015674904
"Myxinidae","Myxine","glutinosa",22,27,"species",139,"fb","TL","fam-Ocean",2.71470198631287,0.00806500012986362
"Anguillidae","Anguilla","anguilla",22,27,"species",139,"fb","TL","spe-LME",3.18042860712324,0.00101942855898025
"Petromyzontidae","Petromyzon","marinus",22,27,"species",139,"fb","TL","spe-Ocean",3,0.00208000000566244
"Congridae","Conger","conger",22,27,"species",139,"fb","TL","spe-LME",3.25450003147125,0.00135999997291947
"Sebastidae","Helicolenus","dactylopterus",22,27,"species",139,"fb","TL","spe-FAO",3.10075002908707,0.0112000000663102
"Rajidae","Leucoraja","fullonica",22,27,"species",139,"fb","TL","gen-FAO",3.31100002924601,0.00191666667039196
"Triglidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.15299998630177,0.00592181823131713
"Scophthalmidae","Zeugopterus","punctatus",22,27,"species",139,"fb","TL","spe-LME",3.14599990844727,0.0138999996706843
"Lotidae","Ciliata","",22,27,"genus",139,"fb","TL","gen-LME",3,0.0063999998383224
"Zoarcidae","Zoarces","viviparus",22,27,"species",139,"fb","TL","fam-LME",3.25,0.0019000000320375
"Syngnathidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.03680000305176,0.000247719998878893
"Clupeidae","Sardina","pilchardus",22,27,"species",139,"fb","TL","spe-LME",3.07699990272522,0.00594000006094575
"Zoarcidae","Lycenchelys","sarsii",22,27,"species",139,"fb","TL","gen-FAO",2.90100002288818,0.00252000009641051
"Cottidae","Taurulus","bubalis",22,27,"species",139,"fb","TL","spe-LME",3,0.0153999999165535
"Anguillidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.18042860712324,0.00101942855898025
"Syngnathidae","Entelurus","aequoreus",22,27,"species",139,"fb","TL","spe-LME",3,0.00022000000171829
"Ammodytidae","Ammodytes","marinus",22,27,"species",139,"fb","TL","spe-Ocean",3.43950009346008,0.00100000004749745
"Rajidae","Raja","undulata",22,27,"species",139,"fb","TL","spe-LME",3.12400007247925,0.00414999993517995
"Anarhichadidae","Anarhichas","minor",22,27,"species",139,"fb","TL","gen-LME",3.15966669718424,0.00510000018402934
"Lotidae","Molva","dypterygia",22,27,"species",139,"fb","TL","spe-LME",3.1489999294281,0.00190999999176711
"Pholidae","Pholis","gunnellus",22,27,"species",139,"fb","TL","spe-LME",3.01799988746643,0.00430000014603138
"Gadidae","Raniceps","raninus",22,27,"species",139,"fb","TL","spe-LME",3.26699995994568,0.00620000017806888
"Zeidae","Zeus","faber",22,27,"species",139,"fb","TL","spe-LME",2.9210000038147,0.0220499997958541
"Gobiidae","Crystallogobius","linearis",22,27,"species",139,"fb","TL","fam-LME",3,0.0110999997705221
"Cyclopteridae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.93899989128113,0.0586999990046024
"Osmeridae","Osmerus","eperlanus",22,27,"species",139,"fb","TL","gen-FAO",1.7389999628067,0.360100001096725
"Triakidae","Galeorhinus","galeus",22,27,"species",139,"fb","TL","spe-Ocean",2.94916661580404,0.0101666666062859
"Scyliorhinidae","Scyliorhinus","stellaris",22,27,"species",139,"fb","TL","gen-LME",2.90400004386902,0.00335999997332692
"Mullidae","Mullus","surmuletus",22,27,"species",139,"fb","TL","spe-LME",3.24300003051758,0.00609666667878628
"Scomberesocidae","Scomberesox","saurus saurus",22,27,"species",139,"fb","TL","gen-LME",3.19300007820129,0.00150000001303852
"Gadidae","Gadiculus","",22,27,"genus",139,"fb","TL","gen-FAO",3.32133332888285,0.00417666664967934
"Gobiidae","Gobius","",22,27,"genus",139,"fb","TL","gen-LME",3,0.0110999997705221
"Carapidae","Echiodon","drummondii",22,27,"species",139,"fb","TL","spe-Ocean",3,0.000592592579778284
"Gobiesocidae","Diplecogaster","bimaculata bimaculata",22,27,"species",139,"fb","TL","fam-Ocean",3.07266664505005,0.0111242294078693
"Triglidae","Chelidonichthys","lucerna",22,27,"species",139,"fb","TL","spe-LME",3.14299996693929,0.00629000024249156
"Macrouridae","Coryphaenoides","rupestris",22,27,"species",139,"fb","TL","gen-Ocean",2.48669993877411,0.0196850001811981
"Lotidae","Gaidropsarus","mediterraneus",22,27,"species",139,"fb","TL","spe-Ocean",2.99860000610352,0.00620199991390109
"Salmonidae","Salmo","salar",22,27,"species",139,"fb","TL","spe-Ocean",2.99163007736206,0.010717443190515
"Soleidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.09968887435065,0.00674488886983858
"Stichaeidae","Leptoclinus","maculatus",22,27,"species",139,"fb","TL","fam-Ocean",2.59604999423027,0.0634550015674904
"Caproidae","Capros","aper",22,27,"species",139,"fb","TL","spe-FAO",2.81924992799759,0.0299174997489899
"Rajidae","Leucoraja","circularis",22,27,"species",139,"fb","TL","gen-FAO",3.31100002924601,0.00191666667039196
"Belonidae","Belone","belone",22,27,"species",139,"fb","TL","spe-LME",3.44199991226196,0.000199999994947575
"Ammodytidae","Gymnammodytes","semisquamatus",22,27,"species",139,"fb","TL","gen-Ocean",3.30699992179871,0.00120000005699694
"Petromyzontidae","Lampetra","fluviatilis",22,27,"species",139,"fb","TL","spe-FAO",3.07050001621246,0.00151299999561161
"Soleidae","Buglossidium","",22,27,"genus",139,"fb","TL","gen-FAO",3.37000000476837,0.00498999992851168
"Moronidae","Dicentrarchus","labrax",22,27,"species",139,"fb","TL","spe-LME",3.02924996614456,0.00997499993536621
"Sparidae","Pagellus","erythrinus",22,27,"species",139,"fb","TL","spe-FAO",2.94583336512248,0.0152500001713634
"Sparidae","Spondyliosoma","cantharus",22,27,"species",139,"fb","TL","spe-LME",3.11266668637594,0.0112633335714539
"Scorpaenidae","Scorpaena","scrofa",22,27,"species",139,"fb","TL","spe-FAO",3.12400007247925,0.0120999999344349
"Soleidae","Microchirus","",22,27,"genus",139,"fb","TL","gen-LME",3.0789999961853,0.00889999978244305
"Scophthalmidae","Zeugopterus","",22,27,"genus",139,"fb","TL","gen-LME",3.14599990844727,0.0138999996706843
"Mugilidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.15766668319702,0.00811333333452543
"Gobiesocidae","Lepadogaster","",22,27,"genus",139,"fb","TL","gen-Ocean",3,0.0230653770267963
"Syngnathidae","Nerophis","",22,27,"genus",139,"fb","TL","gen-LME",2.85800004005432,0.000306999994791113
"Caproidae",NA,"",22,27,"family",139,"fb","TL","fam-FAO",2.81924992799759,0.0299174997489899
"Mugilidae","Chelon","labrosus",22,27,"species",139,"fb","TL","spe-FAO",3.07299995422363,0.00902333358923594
"Pentanchidae","Galeus","melastomus",22,27,"species",139,"fb","TL","spe-FAO",3.09900002479553,0.00199199996422976
"Labridae","Labrus","bergylta",22,27,"species",139,"fb","TL","spe-LME",3.05750000476837,0.0131999999284744
"Lophiidae","Lophius","budegassa",22,27,"species",139,"fb","TL","spe-FAO",2.91574996709824,0.0365024999482557
"Argentinidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.05299997329712,0.00529999984428287
"Moronidae","Dicentrarchus","",22,27,"genus",139,"fb","TL","gen-LME",3.02924996614456,0.00997499993536621
"Mugilidae","Chelon","auratus",22,27,"species",139,"fb","TL","gen-FAO",3.07299995422363,0.00902333358923594
"Bothidae","Arnoglossus","imperialis",22,27,"species",139,"fb","TL","spe-FAO",3.16799998283386,0.00523749989224598
"Macrouridae","Trachyrincus","murrayi",22,27,"species",139,"fb","TL","gen-FAO",3.23200011253357,0.00129000004380941
"Ammodytidae","Hyperoplus","immaculatus",22,27,"species",139,"fb","TL","spe-Ocean",3,0.00235768174752593
"Blenniidae","Blennius","",22,27,"genus",139,"fb","TL","gen-FAO",2.93650007247925,0.0153999999165535
"Soleidae","Pegusa","lascaris",22,27,"species",139,"fb","TL","spe-Ocean",3.14666668574015,0.00733333344881733
"Gobiidae","Lesueurigobius","",22,27,"genus",139,"fb","TL","gen-FAO",3.51500010490417,0.00257000001147389
"Gasterosteidae","Spinachia","spinachia",22,27,"species",139,"fb","TL","spe-LME",3,0.00209999992512167
"Rajidae","Leucoraja","lentiginosa",22,27,"species",139,"fb","TL","gen-FAO",3.31100002924601,0.00191666667039196
"Bothidae","Arnoglossus","",22,27,"genus",139,"fb","TL","gen-FAO",3.16654545610601,0.00725545450537042
"Ammodytidae","Hyperoplus","",22,27,"genus",139,"fb","TL","gen-Ocean",3,0.00235768174752593
"Gobiidae","Lesueurigobius","friesii",22,27,"species",139,"fb","TL","spe-FAO",3.51500010490417,0.00257000001147389
"Gadidae","Merlangius","merlangus",24,27,"species",235,"fb","TL","spe-LME",3.15499997138977,0.00506999987798433
"Clupeidae","Clupea","harengus",24,27,"species",235,"fb","TL","spe-LME",3.05496001243591,0.00712608000263572
"Clupeidae","Sprattus","sprattus",24,27,"species",235,"fb","TL","spe-FAO",3.11000001430511,0.00523500004783273
"Gadidae","Gadus","morhua",24,27,"species",235,"fb","TL","spe-LME",3.07099994023641,0.00753666662300626
"Pleuronectidae","Pleuronectes","platessa",24,27,"species",235,"fb","TL","spe-LME",3.07599997520447,0.00886499998159707
"Pleuronectidae","Platichthys","flesus",24,27,"species",235,"fb","TL","spe-LME",3.0322499871254,0.00977749994490296
"Gadidae","Pollachius","virens",24,27,"species",235,"fb","TL","spe-LME",2.96300005912781,0.010329999960959
"Cottidae","Taurulus","bubalis",24,27,"species",235,"fb","TL","spe-LME",3,0.0153999999165535
"Moronidae","Dicentrarchus","labrax",24,27,"species",235,"fb","TL","spe-LME",3.0013333161672,0.0106999999843538
"Pleuronectidae","Microstomus","kitt",24,27,"species",235,"fb","TL","spe-LME",3.14199995994568,0.00755999982357025
"Agonidae","Agonus","cataphractus",24,27,"species",235,"fb","TL","spe-LME",2.61400008201599,0.0196000002324581
"Rajidae","Raja","clavata",24,27,"species",235,"fb","TL","spe-LME",3.19260001182556,0.0031180000398308
"Pleuronectidae","Limanda","limanda",24,27,"species",235,"fb","TL","spe-LME",3.15499997138977,0.0067150000249967
"Cottidae","Artediellus","atlanticus",22,27,"species",139,"fb","TL","fam-LME",3.12933333714803,0.0118999999637405
"Salmonidae","Salmo","",22,27,"genus",139,"fb","TL","gen-LME",3.06599998474121,0.00829499983228743
"Labridae","Ctenolabrus","rupestris",22,27,"species",139,"fb","TL","spe-LME",3,0.0122999995946884
"Labridae","Symphodus","melops",22,27,"species",139,"fb","TL","spe-LME",3.12333337465922,0.00832000002264977
"Cottidae","Micrenophrys","lilljeborgii",22,27,"species",139,"fb","TL","fam-LME",3.12933333714803,0.0118999999637405
"Zoarcidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.25,0.0019000000320375
"Somniosidae","Somniosus","microcephalus",22,27,"species",139,"fb","TL","spe-LME",3.21333336830139,0.0196666664754351
"Agonidae","Leptagonus","decagonus",22,27,"species",139,"fb","TL","spe-Ocean",3,0.00348715228028595
"Scombridae","Thunnus","thynnus",22,27,"species",139,"fb","TL","spe-LME",2.89400005340576,0.0263999998569489
"Petromyzontidae","Petromyzon","",22,27,"genus",139,"fb","TL","gen-Ocean",3,0.00208000000566244
"Atherinidae","Atherina","presbyter",22,27,"species",139,"fb","TL","spe-LME",3,0.00689999992027879
"Triglidae","Chelidonichthys","lastoviza",22,27,"species",139,"fb","TL","gen-LME",3.21033330758413,0.00518666673451662
"Sparidae","Sparus","aurata",22,27,"species",139,"fb","TL","spe-LME",3.03729999065399,0.0647000013850629
"Mullidae","Mullus","barbatus barbatus",22,27,"species",139,"fb","TL","spe-FAO",3.01774996519089,0.00870750010653865
"Mugilidae","Mugil","cephalus",22,27,"species",139,"fb","TL","spe-LME",2.90300011634827,0.0148000000044703
